210, 405, 6.48, 60
1470, 7001, 6.70, 60
1470, 7001, 11.20, 60
2070, 7001, 18.52, 60
2070, 7001, 25.93, 65
2070, 5501, 32.60, 65
2070, 5501, 32.78, 66
2070, 5501, 32.44, 66
2070, 5501, 32.36, 67
2070, 5501, 32.37, 67
2070, 5501, 32.41, 67
2070, 5501, 32.48, 67
2070, 5501, 32.58, 67
2070, 5501, 32.56, 67
2070, 5501, 32.43, 67
2070, 5501, 32.53, 67
2070, 5501, 32.94, 66
2070, 5501, 33.04, 66
2070, 5501, 33.15, 68
2070, 5501, 32.93, 68
2070, 5501, 32.73, 68
2070, 5501, 32.90, 68
2070, 5501, 33.01, 68
2070, 5501, 33.10, 68
2070, 5501, 30.91, 69
2070, 5501, 30.50, 69
1995, 5501, 28.14, 68
