210, 6.10, 3
210, 6.43, 11
210, 6.58, 24
210, 6.71, 35
240, 6.71, 16
240, 7.07, 43
240, 8.56, 6
1470, 12.29, 69
1470, 20.02, 100
1620, 27.06, 100
1650, 33.28, 100
1650, 35.07, 100
1710, 34.95, 100
1710, 34.93, 100
1680, 34.99, 100
1680, 35.04, 100
1680, 35.04, 100
1650, 34.92, 100
1680, 35.12, 100
1680, 35.00, 100
1680, 34.74, 100
1680, 35.05, 100
1680, 35.70, 100
1695, 35.08, 100
1695, 34.81, 100
1680, 35.39, 100
1680, 34.91, 100
1680, 34.66, 100
1650, 34.89, 100
1650, 35.01, 100
1695, 35.12, 100
1650, 35.28, 100
1650, 35.08, 100
1680, 35.04, 100
1680, 34.84, 100
1665, 35.26, 100
1665, 35.07, 100
1665, 34.99, 100
1665, 34.96, 100
1665, 34.95, 100
1680, 34.96, 100
1665, 34.98, 100
1665, 35.35, 100
1650, 34.91, 100
1680, 34.98, 100
1680, 34.84, 100
1680, 34.91, 100
1680, 35.21, 100
1635, 35.32, 100
1680, 34.75, 100
